Genes	c1	c2	c3	p1	p2	p3	p4
Zranb2	5.79503993	5.95598901	4.904508449	0.044802023	21.27452397	7.290885869	7.033870591
Lrriq3	1.833455153	0.50889549	0.708754072	0	0.091491206	0	0
Dnase2b	0	0	0	0	0	0	0
Adgrl2	0.157607838	0	0.311535143	13.11037268	0.934774809	0.505055824	0.178384802
Rpf1	17.6733877	11.48328066	5.896584511	47.53101806	11.01874053	6.928100672	14.80202082
Uox	0	0	0.503232452	0	0.038726772	0.049335514	0
Ctbs	7.490108285	2.770760487	2.420351798	0	8.531842214	3.824848536	0.59794969
Spata1	4.15015789	1.934322611	5.293486789	0	0.659041074	1.549118245	1.433768185
Gm43450	0	0	0	0	0	0	0
Gm19261	0	0	0	0	0	0	0
Ptprh	0	0	0	0	0	0	0
Mageb4	0	0	0	0	0	0	0
Fam170a	0	0	0	0	0	0	0
Sap30bp	12.49254209	7.904599468	12.3874154	0	9.027129321	13.36354726	10.39472328
Recql5	0.662363832	1.617898335	2.219941664	0	0.959421572	1.327428224	1.418873891
Defb18	0	0	0	0	0	0	0
Itgb4	0	0	0.080913335	0	0	0	0
Ahnak	0	0.124714519	1.559992162	0.286952189	3.676845735	1.942253492	0.722634179
Nlrp1a	0	0	0	0	0.250443062	0	0
Atp6v0d2	0	0	0	0	0	0	0
Cdk10	17.49093753	19.63114165	17.8358455	0	17.60949925	10.14710416	20.73394287
Abcf1	9.983610022	8.484408615	12.49870175	5.686595563	9.390834817	12.90485926	10.77770445
Fgg	0	0.204131143	0.210945742	0.223033298	0.21102437	0.40329052	0.15827054
Sat2	34.52309024	17.86840251	20.74024876	0	16.9495539	21.16982133	25.6194964
Tgs1	22.8131458	17.74278704	16.34886324	27.99552515	22.73697629	13.92518341	13.52245827
Tmem68	21.19044881	10.62813178	10.69940113	0	18.7789093	9.878364718	12.23465634
Sdr16c5	0	0	0	0	0	0	0
Rps20	5.642242548	6.335486024	2.634609862	9.45722312	12.66979949	4.658323149	3.534207955
Olfr779	0	0	0	0	0	0	0
Ackr2	0	0	0	0	0	0	0
Agtr2	0	0	0	0	1.84938274	1.148151433	0
Pofut1	1.134353459	0.646613191	1.66702995	0	1.269069815	2.402924361	1.068474261
Obox3-ps8	0	0	0	0	0	0	0
Nop56	5.829534343	3.428993947	5.908196097	0	4.450524878	5.321447045	5.92911975
Snrpb	100.8597914	108.0051206	106.2177671	52.33018939	74.86924714	105.039122	113.9447155
Olfr1101	0	0	0	0	0	0	0
Idh3b	48.82858909	70.64738225	45.38244008	0.348469769	40.64040252	43.53185887	45.1741416
Tgm3	0	0	0	0	0	0	0
Pdyn	0.086535182	0	0	0	0	0	0
Tgm6	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0
Olfr1099	0	0	0	0	0	0	0
4933415F23Rik	0	0	0	0	0	0	0
Stk4	2.811175561	4.626632346	2.57886788	57.82384654	1.865072241	4.77038179	2.232611365
Cnr1	3.18360878	0.987530984	1.163303955	0.043158979	0.918561045	1.040519429	0.581886153
Pgam1-ps1	1.106702945	0	0	0	0.335976717	0.285342384	0.25198614
Olfr221	0	0	0	0	0	0	0
RP23-60P18.10	8.177819823	4.42366814	10.44808472	0	6.269962232	12.09639941	7.349351133
Chrd	0.51307794	0.338994621	0.043792446	0	0.233568281	1.562686282	0.558508523
Gm13299	0	0	0	0	0	0	0
Gm12976	1.820802869	3.408721021	3.522318287	0	9.118513697	4.401517033	4.508326414
C030037D09Rik	0.604087905	0.785579772	0.314219347	0	0.261914533	0.57850959	1.512838384
Gm15202	0	0.61956147	0	0	0	0	0
Gm13647	0	0	0	0	0	0	0
1500017E21Rik	1.7118775	1.32312056	2.35220718	0	2.087963955	1.136778124	2.426684983
Ccdc142os	0.527155971	0	1.199640743	0	1.535793878	0.366977448	0
Defb50	0	0	0	0	0	0	0
Tmed9	15.47023862	9.342751755	44.37362681	0	16.65430705	12.41798594	7.376418187
Gm5600	0	0	0	0	0	0	0
Erap1	16.34946887	4.184474842	8.083844681	0.662732646	10.71780511	22.15142666	12.7418824
Gm829	0	0	0	0	0	0	0
Pcsk1	2.720900593	0	0	0	0	1.286180892	0.774335355
AC125149.3	0	0	0	0	0	0	0
Cast	0.859330733	2.901928037	15.25401555	85.30932999	7.737090709	9.010451563	0.749977714
Rhobtb3	8.081472552	16.21734471	5.75153513	0.080816532	9.555827897	8.31319586	10.95334907
AC168977.1	0	0	0	0	0	0	0
Gm17249	0.770940403	0	0	0	0	1.490804883	0.338490303
Vwa3a	0	2.269965761	1.627572408	0	0	0	0
Rrp8	9.240542868	7.053508649	2.86762664	0	6.692385988	4.893723096	4.213523667
4930579M01Rik	0	0	0	0	0	0	0
Zfp652os	2.572953073	6.799733864	1.405209984	0	3.747966251	0.397991518	0
Gm13571	0	0	1.905595508	0	0.892114846	0	0
Gm13976	0	0	0	0	0	0	0
Gm16329	0	0	0	0	0	0	0
Arfip2	3.352406917	4.228368591	1.433826599	0	2.965079405	1.769918587	1.613698017
Ppp6c	32.06490941	35.99734658	11.25773635	0.572841347	35.75293557	20.24974884	11.10263911
Psmb7	73.66036712	61.74556513	30.17055147	0.14941978	70.17558508	46.44043112	63.43141713
Dnhd1	0.405048124	0.349687239	0.162233883	0.031189353	0.073759924	0.451168674	0.204720294
Uqcrc2	133.1592877	163.2987023	63.89670879	104.4284609	96.00757289	77.02011817	98.45974373
Golga1	3.489245817	2.916452662	4.113865853	0	3.406532863	4.243584646	5.484173406
Arpc5l	20.90068854	25.58609056	16.62251152	0.190106375	16.13136305	17.27404341	24.97753253
Gm13084	0	0	0	0	0	0	0
Ddn	0.147757666	0.195278191	0	0.142228453	0	0.428612895	0.100929208
2700069I18Rik	0	0	0	0	0	0	0
Gm12660	0	0	0	0	0	0	0
Gm11820	0	0	0	0	0	0	0
Gm16599	0.701286384	1.544609596	2.766501245	0	1.702756241	1.084966208	4.151429473
4930412B13Rik	0	0	0	0	0	0	0
Gm11665	0	0	0	0	0	0	0
Ubap1l	0	0	0	0	0	0	0
Syce2	6.408841892	6.014073992	3.720240931	0	7.611020865	7.902987128	7.866394108
Olfr213	0	0	0	0	0	0	0
Gm15013	0	0.303979598	0.628096871	1.992933846	0	0.400227426	0.589009905
Gm21721	0	0	0	0	0	0	0
1810063I02Rik	0	0.888641087	0	0	0	0	0
Gm15658	0	0	3.505751074	0	4.383189894	0.930842532	0
Gm15020	0	0	0	0	0	0	0
2610035F20Rik	0	0	0	0	0.351371836	0	0
Bid	4.22272441	4.098687347	0.920719879	14.31475652	2.762663137	5.222226614	3.315913584
Vmn2r25	0	0	0	0	0	0	0
Olfr1354	0	0	0	0	0	0	0
Astx4b	0	0	0	0	0	0	0
Kctd12	1.214876152	0	1.754218066	166.8195925	11.86223426	4.261189103	3.404931565
Klf9	8.002643154	11.56333171	15.95727226	0	16.57712085	27.18421856	9.31217466
Chst9	0	0	0	0	0	0	0.045500094
Gm11906	0	0	0	0	0	0	0.277555322
Gm15342	0	0	0	0	0	0	0
Arhgap27os3	0	0	0	0	0	0	0
D030047H15Rik	0.544824842	0.335971211	0.34713874	0	0.198459433	0.252865032	0.632579908
Gm15912	1.673260788	0	13.27329795	0	10.01139165	5.17717023	2.938658032
Gm3848	0	0	0	0	0	0.178398535	0
2610507I01Rik	3.149241458	2.595332342	10.35752138	0	3.699738744	2.671741712	5.481475111
1700054M17Rik	0	0	0	0	0	0	0
Gm12224	0	0	0	0	0	0	0.455521204
Hpgds	1.777744642	0	0.784624818	84.50767627	3.858472789	2.25018948	3.164311225
Mrps33	27.43959622	35.03056773	23.73182514	17.18910091	24.01336645	17.18393978	29.27260705
Clec5a	0	0	1.049797522	0	0.617621799	0	2.038659855
C130060K24Rik	0	0	0	0	0	0	0
Agk	4.901426873	1.826809706	2.440641231	0	3.451881497	4.974087427	3.633828885
Ssbp1	10.80713063	7.758758224	9.608732996	18.71871231	11.19018002	5.890556844	10.34832937
Mad2l1	3.276929874	8.485100824	3.731785617	0	4.735057605	5.131075964	9.333215349
Prdm5	1.3868932	1.751585562	2.044574699	0	1.698543763	2.231011843	0.670624685
Mkrn3	5.858429073	1.481405435	4.49355174	0	2.271921624	3.776315716	0.629847918
Gm17467	0	0	0	0	0	0	0
Gm13285	0	0	0	0	0	0	0
Prss16	0	0	0.033469812	0	0	0.824930827	0
Gm21171	0	0	0	0	0	0	0
Edaradd	0	0	0.046570346	0.065646602	0.279440261	0	0
Esp15	0	0	0	0	0	0	0
Vmn2r-ps10	0	0	0	0	0	0	0
Gm20574	0	0	0	0	0	0	0
Gm17750	34.47520628	44.40570089	13.78942666	0	39.47405625	16.76796043	34.60641818
Hpse	0	0	0	0	1.391736941	0.053739363	0
Pyhin1	0	0	0	0	0	0	1.751666396
Uevld	0.929665375	0	4.5044463	0	2.512027663	2.041361989	3.441133144
Gm26916	2.747570271	0.691726301	9.289785431	0	3.573794033	2.428940816	7.506342152
Olfr1031	0	0	0	0	0	0	0
Ssc5d	0	0	1.262383677	0	0.234904047	0.124720731	0
Plekhj1	100.52119	91.16417391	36.56209375	0	70.73989375	66.54972706	81.32339444
Wnt3	0.539006058	0	5.274472131	0	2.535514386	2.466748903	0
Rps2	19.38106978	21.82202158	9.134545532	10.71002161	14.77464092	13.4613273	12.00370738
Tmem30b	0	0	0.038313859	0	0	0	0
RP23-178C20.4	0	0	0	0	0	0	0
Zxdc	1.55215034	1.673223601	3.541628312	0.078670037	3.793314691	4.565474587	2.978117286
Gm11784	0	0	0	0	0	0	0
Gbp8	0	0	0	0	0	0.669782254	0
Gm7682	0	0	0	0	0	0	0
Gm29648	0	0	0	0	0	0	0
Cst7	0	0	3.699152112	0	3.572292026	0.650370915	0
Kdm4d	0	0	0	0	0	0	0.039222282
Nanp	1.168191701	3.636284463	2.19777686	0	8.934539886	1.686811946	4.042698329
Wfdc2	0	15.34866514	1.185799126	0	3.854606218	7.179219944	1.557002026
Pigt	8.804999467	3.336015004	4.123943866	0.26842778	5.372691118	6.415440345	8.155991847
Trp53tg5	0	0	0.404025172	0	0.80801111	0	0.606223615
Etv4	1.611289415	9.896199339	1.425436292	0	2.231532411	5.775331691	3.193038917
Lpo	1.458740174	3.01072192	1.365824382	0	0	1.644164038	1.167113076
Mpo	0	0	0	0	0	0	0
Ppt2	5.182831238	6.734051428	10.55620086	0	5.128252176	7.377290599	6.578733286
Zfp296	0	0	1.150855522	0	0	0	0
Prkcg	1.194223703	0	0.362380954	0	0.780647149	2.581744821	1.924103183
Nlrp12	0	0	0	0	0	0	0
Cacng6	0	0	0	0	0	0	0
Eif5a	92.13795477	129.0464013	53.50899598	64.23057112	113.6833291	71.92320429	101.7602972
Rnf5	104.9516977	116.3489223	88.78394774	41.58102118	65.97150091	79.75667081	107.6112238
Gp6	0	0	0	0	0	0	0
Gm10830	0	0	0	0	0	0	0
1700030C10Rik	0	0	0	0	0	0	0
Dppa3	0	0	0	0	0.564229958	0	0
1700022A22Rik	0	0	0	0	0	0	0
Gm29018	0	0	0	0	0	0	0
Vmn1r-ps34	0	0	0	0	0	0	0
Gm21114	0	0	0	0	0	0	0
Gm28763	0	0	0	0	0	0	0
BE692007	0.048929845	0	0.24498839	1.22495032	1.336567326	0.34065801	0.183816148
4731419I09Rik	0.146996831	0.302135813	0.668991146	7.547262773	0	0.568444052	0.936961857
Abca12	0.017494418	0.007704353	0	0	0	0	0
Olfr1105	0	0	0	0	0	0	0
Foxc1	0.4893219	1.262385609	12.63104786	0	13.55624898	10.43556475	0.787763565
Obox3-ps3	0	0	0	0	0	0	0
Olfr1106	0	0	0	0	0	0	0
Gm20627	0	0	0	0	0	0	0.934939211
Vmn1r-ps24	0	0	0	0	0	0	0
Vmn2r-ps4	0	0	0	0	0	0	0
Gm20700	0	0	0	0	0	0.193763776	0
Vmn1r22	0	0	0	0	0	0	0
Gm9843	77.30462254	98.52972833	65.3802741	146.7446047	96.84046979	61.28052557	72.64619972
Olfr1104	0	0	0	0	0	0	0
4833422M21Rik	0	0	0	0	0	0	0
Gm26507	0	4.661399813	0	0	4.10396055	0.22736324	1.940818534
Gm10687	1.673658375	0.442362467	2.285348314	0	0.761947607	0	0
1110019D14Rik	3.082219718	5.702123972	3.647523114	0	7.29644925	0.119197683	2.526221081
Gm2061	0.100074913	0.308592174	1.047680174	0	0.728959752	1.238626325	0.444312716
Gm26508	2.642916588	4.656613794	8.710926102	28.42908737	5.47643672	10.8561812	10.51960179
Gm17597	0	2.947342483	0	0	3.610148658	2.4920014	4.147022711
A930012L18Rik	0.345655731	0	0.404559425	0	0	0	1.315311733
Olfr1107	0	0	0	0	0	0	0
Nme8	0.233071983	0	0	0	0	0	0
